"","time","treatment","subject","rep","criterion","rating"
"1",1,1,3,1,"potato",2.9
"2",1,1,3,1,"buttery",0
"3",1,1,3,1,"grassy",0
"4",1,1,3,1,"rancid",0
"5",1,1,3,1,"painty",5.5
"6",1,1,3,2,"potato",14
"7",1,1,3,2,"buttery",0
"8",1,1,3,2,"grassy",0
"9",1,1,3,2,"rancid",1.1
"10",1,1,3,2,"painty",0
"11",1,1,10,1,"potato",11
"12",1,1,10,1,"buttery",6.4
"13",1,1,10,1,"grassy",0
"14",1,1,10,1,"rancid",0
"15",1,1,10,1,"painty",0
"16",1,1,10,2,"potato",9.9
"17",1,1,10,2,"buttery",5.9
"18",1,1,10,2,"grassy",2.9
"19",1,1,10,2,"rancid",2.2
"20",1,1,10,2,"painty",0
"21",1,1,15,1,"potato",1.2
"22",1,1,15,1,"buttery",0.1
"23",1,1,15,1,"grassy",0
"24",1,1,15,1,"rancid",1.1
"25",1,1,15,1,"painty",5.1
"26",1,1,15,2,"potato",8.8
"27",1,1,15,2,"buttery",3
"28",1,1,15,2,"grassy",3.6
"29",1,1,15,2,"rancid",1.5
"30",1,1,15,2,"painty",2.3
"31",1,1,16,1,"potato",9
"32",1,1,16,1,"buttery",2.6
"33",1,1,16,1,"grassy",0.4
"34",1,1,16,1,"rancid",0.1
"35",1,1,16,1,"painty",0.2
"36",1,1,16,2,"potato",8.2
"37",1,1,16,2,"buttery",4.4
"38",1,1,16,2,"grassy",0.3
"39",1,1,16,2,"rancid",1.4
"40",1,1,16,2,"painty",4
"41",1,1,19,1,"potato",7
"42",1,1,19,1,"buttery",3.2
"43",1,1,19,1,"grassy",0
"44",1,1,19,1,"rancid",4.9
"45",1,1,19,1,"painty",3.2
"46",1,1,19,2,"potato",13
"47",1,1,19,2,"buttery",0
"48",1,1,19,2,"grassy",3.1
"49",1,1,19,2,"rancid",4.3
"50",1,1,19,2,"painty",10.3
"51",1,1,31,1,"potato",12.2
"52",1,1,31,1,"buttery",0
"53",1,1,31,1,"grassy",0
"54",1,1,31,1,"rancid",2.5
"55",1,1,31,1,"painty",2
"56",1,1,31,2,"potato",12.8
"57",1,1,31,2,"buttery",2.5
"58",1,1,31,2,"grassy",0
"59",1,1,31,2,"rancid",5.6
"60",1,1,31,2,"painty",0
"61",1,1,51,1,"potato",8.6
"62",1,1,51,1,"buttery",1.7
"63",1,1,51,1,"grassy",0.1
"64",1,1,51,1,"rancid",1.4
"65",1,1,51,1,"painty",0.1
"66",1,1,51,2,"potato",10.2
"67",1,1,51,2,"buttery",4.2
"68",1,1,51,2,"grassy",3.6
"69",1,1,51,2,"rancid",3.3
"70",1,1,51,2,"painty",4
"71",1,1,52,1,"potato",5.8
"72",1,1,52,1,"buttery",0
"73",1,1,52,1,"grassy",1.7
"74",1,1,52,1,"rancid",8.5
"75",1,1,52,1,"painty",1.1
"76",1,1,52,2,"potato",7
"77",1,1,52,2,"buttery",3.1
"78",1,1,52,2,"grassy",0.3
"79",1,1,52,2,"rancid",2.8
"80",1,1,52,2,"painty",0.5
"81",1,1,63,1,"potato",8.3
"82",1,1,63,1,"buttery",0
"83",1,1,63,1,"grassy",0
"84",1,1,63,1,"rancid",1.1
"85",1,1,63,1,"painty",0.4
"86",1,1,63,2,"potato",2.9
"87",1,1,63,2,"buttery",0
"88",1,1,63,2,"grassy",0
"89",1,1,63,2,"rancid",12.9
"90",1,1,63,2,"painty",3.4
"91",1,1,78,1,"potato",4.9
"92",1,1,78,1,"buttery",1.2
"93",1,1,78,1,"grassy",0
"94",1,1,78,1,"rancid",1.1
"95",1,1,78,1,"painty",3.5
"96",1,1,78,2,"potato",8.8
"97",1,1,78,2,"buttery",0.6
"98",1,1,78,2,"grassy",3
"99",1,1,78,2,"rancid",0.5
"100",1,1,78,2,"painty",1.1
"101",1,1,79,1,"potato",5.1
"102",1,1,79,1,"buttery",0
"103",1,1,79,1,"grassy",0
"104",1,1,79,1,"rancid",2
"105",1,1,79,1,"painty",0
"106",1,1,79,2,"potato",10.4
"107",1,1,79,2,"buttery",0.4
"108",1,1,79,2,"grassy",0
"109",1,1,79,2,"rancid",0
"110",1,1,79,2,"painty",0
"111",1,1,86,1,"potato",5.2
"112",1,1,86,1,"buttery",1.2
"113",1,1,86,1,"grassy",0
"114",1,1,86,1,"rancid",7.9
"115",1,1,86,1,"painty",4.9
"116",1,1,86,2,"potato",3
"117",1,1,86,2,"buttery",2.6
"118",1,1,86,2,"grassy",2.7
"119",1,1,86,2,"rancid",0
"120",1,1,86,2,"painty",0
"121",1,2,3,1,"potato",13.9
"122",1,2,3,1,"buttery",0
"123",1,2,3,1,"grassy",0
"124",1,2,3,1,"rancid",3.9
"125",1,2,3,1,"painty",0
"126",1,2,3,2,"potato",13.4
"127",1,2,3,2,"buttery",0.1
"128",1,2,3,2,"grassy",0
"129",1,2,3,2,"rancid",1.5
"130",1,2,3,2,"painty",0
"131",1,2,10,1,"potato",9.3
"132",1,2,10,1,"buttery",5.2
"133",1,2,10,1,"grassy",3.3
"134",1,2,10,1,"rancid",0
"135",1,2,10,1,"painty",0
"136",1,2,10,2,"potato",11
"137",1,2,10,2,"buttery",10.1
"138",1,2,10,2,"grassy",2.5
"139",1,2,10,2,"rancid",0
"140",1,2,10,2,"painty",0
"141",1,2,15,1,"potato",9
"142",1,2,15,1,"buttery",3.6
"143",1,2,15,1,"grassy",0.3
"144",1,2,15,1,"rancid",2
"145",1,2,15,1,"painty",0.3
"146",1,2,15,2,"potato",7
"147",1,2,15,2,"buttery",2.7
"148",1,2,15,2,"grassy",2.7
"149",1,2,15,2,"rancid",1.9
"150",1,2,15,2,"painty",1
"151",1,2,16,1,"potato",4.6
"152",1,2,16,1,"buttery",3.5
"153",1,2,16,1,"grassy",0.8
"154",1,2,16,1,"rancid",0.2
"155",1,2,16,1,"painty",0.1
"156",1,2,16,2,"potato",5
"157",1,2,16,2,"buttery",0.6
"158",1,2,16,2,"grassy",0.2
"159",1,2,16,2,"rancid",0.4
"160",1,2,16,2,"painty",0
"161",1,2,19,1,"potato",9.5
"162",1,2,19,1,"buttery",2.5
"163",1,2,19,1,"grassy",1.3
"164",1,2,19,1,"rancid",0
"165",1,2,19,1,"painty",0
"166",1,2,19,2,"potato",11.3
"167",1,2,19,2,"buttery",1.1
"168",1,2,19,2,"grassy",0
"169",1,2,19,2,"rancid",2.5
"170",1,2,19,2,"painty",0
"171",1,2,31,1,"potato",10.6
"172",1,2,31,1,"buttery",0.7
"173",1,2,31,1,"grassy",0
"174",1,2,31,1,"rancid",7
"175",1,2,31,1,"painty",2.2
"176",1,2,31,2,"potato",11.4
"177",1,2,31,2,"buttery",3.2
"178",1,2,31,2,"grassy",0
"179",1,2,31,2,"rancid",0.8
"180",1,2,31,2,"painty",3.5
"181",1,2,51,1,"potato",11.7
"182",1,2,51,1,"buttery",4.1
"183",1,2,51,1,"grassy",4.3
"184",1,2,51,1,"rancid",3.3
"185",1,2,51,1,"painty",3.9
"186",1,2,51,2,"potato",8.5
"187",1,2,51,2,"buttery",1.8
"188",1,2,51,2,"grassy",2.5
"189",1,2,51,2,"rancid",11.8
"190",1,2,51,2,"painty",3.5
"191",1,2,52,1,"potato",10.4
"192",1,2,52,1,"buttery",4.4
"193",1,2,52,1,"grassy",0
"194",1,2,52,1,"rancid",0
"195",1,2,52,1,"painty",0
"196",1,2,52,2,"potato",7.1
"197",1,2,52,2,"buttery",1.1
"198",1,2,52,2,"grassy",0.4
"199",1,2,52,2,"rancid",1.7
"200",1,2,52,2,"painty",0
"201",1,2,63,1,"potato",13.1
"202",1,2,63,1,"buttery",0.3
"203",1,2,63,1,"grassy",0
"204",1,2,63,1,"rancid",0
"205",1,2,63,1,"painty",0
"206",1,2,63,2,"potato",7.7
"207",1,2,63,2,"buttery",0
"208",1,2,63,2,"grassy",0
"209",1,2,63,2,"rancid",0.2
"210",1,2,63,2,"painty",0
"211",1,2,78,1,"potato",9.1
"212",1,2,78,1,"buttery",0.7
"213",1,2,78,1,"grassy",1.2
"214",1,2,78,1,"rancid",2
"215",1,2,78,1,"painty",4.1
"216",1,2,78,2,"potato",4.3
"217",1,2,78,2,"buttery",0.1
"218",1,2,78,2,"grassy",3.8
"219",1,2,78,2,"rancid",0.9
"220",1,2,78,2,"painty",0.8
"221",1,2,79,1,"potato",8.3
"222",1,2,79,1,"buttery",0.8
"223",1,2,79,1,"grassy",0.6
"224",1,2,79,1,"rancid",0
"225",1,2,79,1,"painty",0
"226",1,2,79,2,"potato",5.1
"227",1,2,79,2,"buttery",4.5
"228",1,2,79,2,"grassy",0
"229",1,2,79,2,"rancid",1.1
"230",1,2,79,2,"painty",0
"231",1,2,86,1,"potato",6.1
"232",1,2,86,1,"buttery",4.4
"233",1,2,86,1,"grassy",0
"234",1,2,86,1,"rancid",0
"235",1,2,86,1,"painty",0
"236",1,2,86,2,"potato",3.2
"237",1,2,86,2,"buttery",4.3
"238",1,2,86,2,"grassy",0
"239",1,2,86,2,"rancid",0
"240",1,2,86,2,"painty",0
"241",1,3,3,1,"potato",14.1
"242",1,3,3,1,"buttery",0
"243",1,3,3,1,"grassy",0
"244",1,3,3,1,"rancid",1.1
"245",1,3,3,1,"painty",0
"246",1,3,3,2,"potato",9.5
"247",1,3,3,2,"buttery",0
"248",1,3,3,2,"grassy",0.6
"249",1,3,3,2,"rancid",2.8
"250",1,3,3,2,"painty",0
"251",1,3,10,1,"potato",11.3
"252",1,3,10,1,"buttery",10.2
"253",1,3,10,1,"grassy",0
"254",1,3,10,1,"rancid",0
"255",1,3,10,1,"painty",0
"256",1,3,10,2,"potato",10.1
"257",1,3,10,2,"buttery",5
"258",1,3,10,2,"grassy",0.8
"259",1,3,10,2,"rancid",0
"260",1,3,10,2,"painty",0
"261",1,3,15,1,"potato",5.8
"262",1,3,15,1,"buttery",1
"263",1,3,15,1,"grassy",0.5
"264",1,3,15,1,"rancid",2.8
"265",1,3,15,1,"painty",0.6
"266",1,3,15,2,"potato",8
"267",1,3,15,2,"buttery",3.6
"268",1,3,15,2,"grassy",0.5
"269",1,3,15,2,"rancid",0.8
"270",1,3,15,2,"painty",0.6
"271",1,3,16,1,"potato",7.8
"272",1,3,16,1,"buttery",0.2
"273",1,3,16,1,"grassy",0.6
"274",1,3,16,1,"rancid",1.4
"275",1,3,16,1,"painty",0
"276",1,3,16,2,"potato",5.2
"277",1,3,16,2,"buttery",1.1
"278",1,3,16,2,"grassy",0.5
"279",1,3,16,2,"rancid",3.6
"280",1,3,16,2,"painty",0.6
"281",1,3,19,1,"potato",7.2
"282",1,3,19,1,"buttery",3.4
"283",1,3,19,1,"grassy",5.2
"284",1,3,19,1,"rancid",4.4
"285",1,3,19,1,"painty",0
"286",1,3,19,2,"potato",11.1
"287",1,3,19,2,"buttery",2.8
"288",1,3,19,2,"grassy",0
"289",1,3,19,2,"rancid",13.2
"290",1,3,19,2,"painty",3
"291",1,3,31,1,"potato",7.1
"292",1,3,31,1,"buttery",0.7
"293",1,3,31,1,"grassy",0.3
"294",1,3,31,1,"rancid",6.6
"295",1,3,31,1,"painty",9.2
"296",1,3,31,2,"potato",12.5
"297",1,3,31,2,"buttery",3.7
"298",1,3,31,2,"grassy",0
"299",1,3,31,2,"rancid",8.1
"300",1,3,31,2,"painty",9.2
"301",1,3,51,1,"potato",13.6
"302",1,3,51,1,"buttery",1.4
"303",1,3,51,1,"grassy",0
"304",1,3,51,1,"rancid",2.1
"305",1,3,51,1,"painty",0
"306",1,3,51,2,"potato",8.5
"307",1,3,51,2,"buttery",4.7
"308",1,3,51,2,"grassy",2
"309",1,3,51,2,"rancid",6
"310",1,3,51,2,"painty",6.1
"311",1,3,52,1,"potato",10.6
"312",1,3,52,1,"buttery",2
"313",1,3,52,1,"grassy",0
"314",1,3,52,1,"rancid",1.2
"315",1,3,52,1,"painty",0
"316",1,3,52,2,"potato",10.3
"317",1,3,52,2,"buttery",4.7
"318",1,3,52,2,"grassy",0
"319",1,3,52,2,"rancid",0
"320",1,3,52,2,"painty",0
"321",1,3,63,1,"potato",8.6
"322",1,3,63,1,"buttery",0.4
"323",1,3,63,1,"grassy",1.9
"324",1,3,63,1,"rancid",0
"325",1,3,63,1,"painty",0
"326",1,3,63,2,"potato",10.3
"327",1,3,63,2,"buttery",0
"328",1,3,63,2,"grassy",0
"329",1,3,63,2,"rancid",0.4
"330",1,3,63,2,"painty",0
"331",1,3,78,1,"potato",7.4
"332",1,3,78,1,"buttery",1.6
"333",1,3,78,1,"grassy",0
"334",1,3,78,1,"rancid",3.6
"335",1,3,78,1,"painty",9.3
"336",1,3,78,2,"potato",5
"337",1,3,78,2,"buttery",0.1
"338",1,3,78,2,"grassy",3.7
"339",1,3,78,2,"rancid",2.5
"340",1,3,78,2,"painty",8.9
"341",1,3,79,1,"potato",8.8
"342",1,3,79,1,"buttery",0
"343",1,3,79,1,"grassy",1.6
"344",1,3,79,1,"rancid",0.9
"345",1,3,79,1,"painty",0
"346",1,3,79,2,"potato",8.3
"347",1,3,79,2,"buttery",0
"348",1,3,79,2,"grassy",0
"349",1,3,79,2,"rancid",0.9
"350",1,3,79,2,"painty",0
"351",1,3,86,1,"potato",6.7
"352",1,3,86,1,"buttery",4.5
"353",1,3,86,1,"grassy",1.5
"354",1,3,86,1,"rancid",0
"355",1,3,86,1,"painty",0
"356",1,3,86,2,"potato",7.9
"357",1,3,86,2,"buttery",7
"358",1,3,86,2,"grassy",2.5
"359",1,3,86,2,"rancid",0
"360",1,3,86,2,"painty",0
"361",2,1,3,1,"potato",9
"362",2,1,3,1,"buttery",0.3
"363",2,1,3,1,"grassy",0.1
"364",2,1,3,1,"rancid",5.8
"365",2,1,3,1,"painty",0.3
"366",2,1,3,2,"potato",5.5
"367",2,1,3,2,"buttery",0.5
"368",2,1,3,2,"grassy",2
"369",2,1,3,2,"rancid",8.6
"370",2,1,3,2,"painty",0
"371",2,1,10,1,"potato",8
"372",2,1,10,1,"buttery",3.1
"373",2,1,10,1,"grassy",3.1
"374",2,1,10,1,"rancid",6.2
"375",2,1,10,1,"painty",1.7
"376",2,1,10,2,"potato",10.2
"377",2,1,10,2,"buttery",8.4
"378",2,1,10,2,"grassy",0
"379",2,1,10,2,"rancid",0
"380",2,1,10,2,"painty",0
"381",2,1,15,1,"potato",5.3
"382",2,1,15,1,"buttery",1.4
"383",2,1,15,1,"grassy",0.1
"384",2,1,15,1,"rancid",3.9
"385",2,1,15,1,"painty",6.5
"386",2,1,15,2,"potato",7.3
"387",2,1,15,2,"buttery",2.3
"388",2,1,15,2,"grassy",0.5
"389",2,1,15,2,"rancid",3.3
"390",2,1,15,2,"painty",0.5
"391",2,1,16,1,"potato",4.1
"392",2,1,16,1,"buttery",5.1
"393",2,1,16,1,"grassy",0
"394",2,1,16,1,"rancid",2.8
"395",2,1,16,1,"painty",0
"396",2,1,16,2,"potato",11
"397",2,1,16,2,"buttery",3.8
"398",2,1,16,2,"grassy",0.7
"399",2,1,16,2,"rancid",2
"400",2,1,16,2,"painty",0.4
"401",2,1,19,1,"potato",8.7
"402",2,1,19,1,"buttery",0
"403",2,1,19,1,"grassy",0
"404",2,1,19,1,"rancid",12.8
"405",2,1,19,1,"painty",11.3
"406",2,1,19,2,"potato",11
"407",2,1,19,2,"buttery",7.5
"408",2,1,19,2,"grassy",0
"409",2,1,19,2,"rancid",0
"410",2,1,19,2,"painty",0
"411",2,1,31,1,"potato",9.7
"412",2,1,31,1,"buttery",3.3
"413",2,1,31,1,"grassy",0
"414",2,1,31,1,"rancid",12.1
"415",2,1,31,1,"painty",1.1
"416",2,1,31,2,"potato",4.1
"417",2,1,31,2,"buttery",0
"418",2,1,31,2,"grassy",1.2
"419",2,1,31,2,"rancid",11.9
"420",2,1,31,2,"painty",7.6
"421",2,1,51,1,"potato",9.4
"422",2,1,51,1,"buttery",6.7
"423",2,1,51,1,"grassy",1.5
"424",2,1,51,1,"rancid",11.1
"425",2,1,51,1,"painty",2.8
"426",2,1,51,2,"potato",14.3
"427",2,1,51,2,"buttery",1.9
"428",2,1,51,2,"grassy",0.1
"429",2,1,51,2,"rancid",1.1
"430",2,1,51,2,"painty",0
"431",2,1,52,1,"potato",6.5
"432",2,1,52,1,"buttery",1.6
"433",2,1,52,1,"grassy",2.8
"434",2,1,52,1,"rancid",1.1
"435",2,1,52,1,"painty",0
"436",2,1,52,2,"potato",8.2
"437",2,1,52,2,"buttery",1
"438",2,1,52,2,"grassy",2.1
"439",2,1,52,2,"rancid",1
"440",2,1,52,2,"painty",0
"441",2,1,63,1,"potato",8.9
"442",2,1,63,1,"buttery",0
"443",2,1,63,1,"grassy",0
"444",2,1,63,1,"rancid",2.3
"445",2,1,63,1,"painty",0
"446",2,1,63,2,"potato",8.7
"447",2,1,63,2,"buttery",0
"448",2,1,63,2,"grassy",0
"449",2,1,63,2,"rancid",1.1
"450",2,1,63,2,"painty",0
"451",2,1,78,1,"potato",3.3
"452",2,1,78,1,"buttery",0
"453",2,1,78,1,"grassy",1.3
"454",2,1,78,1,"rancid",0
"455",2,1,78,1,"painty",6.3
"456",2,1,78,2,"potato",4.5
"457",2,1,78,2,"buttery",1.7
"458",2,1,78,2,"grassy",0.5
"459",2,1,78,2,"rancid",6
"460",2,1,78,2,"painty",8.9
"461",2,1,79,1,"potato",5.9
"462",2,1,79,1,"buttery",0
"463",2,1,79,1,"grassy",2.3
"464",2,1,79,1,"rancid",0.5
"465",2,1,79,1,"painty",0
"466",2,1,79,2,"potato",6
"467",2,1,79,2,"buttery",0
"468",2,1,79,2,"grassy",2.8
"469",2,1,79,2,"rancid",0
"470",2,1,79,2,"painty",0
"471",2,1,86,1,"potato",6.7
"472",2,1,86,1,"buttery",6
"473",2,1,86,1,"grassy",0
"474",2,1,86,1,"rancid",0
"475",2,1,86,1,"painty",0
"476",2,1,86,2,"potato",5.9
"477",2,1,86,2,"buttery",6
"478",2,1,86,2,"grassy",3
"479",2,1,86,2,"rancid",0
"480",2,1,86,2,"painty",0
"481",2,2,3,1,"potato",14.1
"482",2,2,3,1,"buttery",0.9
"483",2,2,3,1,"grassy",0.3
"484",2,2,3,1,"rancid",2.1
"485",2,2,3,1,"painty",0
"486",2,2,3,2,"potato",3.3
"487",2,2,3,2,"buttery",0.7
"488",2,2,3,2,"grassy",1.6
"489",2,2,3,2,"rancid",0
"490",2,2,3,2,"painty",1
"491",2,2,10,1,"potato",11.2
"492",2,2,10,1,"buttery",7.6
"493",2,2,10,1,"grassy",1.6
"494",2,2,10,1,"rancid",0
"495",2,2,10,1,"painty",0
"496",2,2,10,2,"potato",8.2
"497",2,2,10,2,"buttery",6.8
"498",2,2,10,2,"grassy",0
"499",2,2,10,2,"rancid",0
"500",2,2,10,2,"painty",0
"501",2,2,15,1,"potato",12.7
"502",2,2,15,1,"buttery",5.6
"503",2,2,15,1,"grassy",0.7
"504",2,2,15,1,"rancid",0.2
"505",2,2,15,1,"painty",0
"506",2,2,15,2,"potato",3.9
"507",2,2,15,2,"buttery",2.7
"508",2,2,15,2,"grassy",0.4
"509",2,2,15,2,"rancid",3.1
"510",2,2,15,2,"painty",0.6
"511",2,2,16,1,"potato",5.4
"512",2,2,16,1,"buttery",4.8
"513",2,2,16,1,"grassy",0.7
"514",2,2,16,1,"rancid",3
"515",2,2,16,1,"painty",0
"516",2,2,16,2,"potato",2.6
"517",2,2,16,2,"buttery",0.7
"518",2,2,16,2,"grassy",0.7
"519",2,2,16,2,"rancid",0.1
"520",2,2,16,2,"painty",0
"521",2,2,19,1,"potato",11.2
"522",2,2,19,1,"buttery",10
"523",2,2,19,1,"grassy",1.9
"524",2,2,19,1,"rancid",6.5
"525",2,2,19,1,"painty",0
"526",2,2,19,2,"potato",4.3
"527",2,2,19,2,"buttery",3.7
"528",2,2,19,2,"grassy",2.7
"529",2,2,19,2,"rancid",2
"530",2,2,19,2,"painty",0
"531",2,2,31,1,"potato",10.6
"532",2,2,31,1,"buttery",1.4
"533",2,2,31,1,"grassy",0
"534",2,2,31,1,"rancid",1.3
"535",2,2,31,1,"painty",0
"536",2,2,31,2,"potato",6.6
"537",2,2,31,2,"buttery",0.4
"538",2,2,31,2,"grassy",0
"539",2,2,31,2,"rancid",10.6
"540",2,2,31,2,"painty",3.6
"541",2,2,51,1,"potato",9.2
"542",2,2,51,1,"buttery",3.4
"543",2,2,51,1,"grassy",1.2
"544",2,2,51,1,"rancid",5.7
"545",2,2,51,1,"painty",5.4
"546",2,2,51,2,"potato",11.6
"547",2,2,51,2,"buttery",4.6
"548",2,2,51,2,"grassy",0
"549",2,2,51,2,"rancid",10
"550",2,2,51,2,"painty",0.1
"551",2,2,52,1,"potato",9.7
"552",2,2,52,1,"buttery",3.6
"553",2,2,52,1,"grassy",0.4
"554",2,2,52,1,"rancid",0
"555",2,2,52,1,"painty",0
"556",2,2,52,2,"potato",10.2
"557",2,2,52,2,"buttery",3.5
"558",2,2,52,2,"grassy",0
"559",2,2,52,2,"rancid",0
"560",2,2,52,2,"painty",0
"561",2,2,63,1,"potato",12.2
"562",2,2,63,1,"buttery",0
"563",2,2,63,1,"grassy",0
"564",2,2,63,1,"rancid",0
"565",2,2,63,1,"painty",0
"566",2,2,63,2,"potato",10.7
"567",2,2,63,2,"buttery",0
"568",2,2,63,2,"grassy",0.2
"569",2,2,63,2,"rancid",0
"570",2,2,63,2,"painty",0
"571",2,2,78,1,"potato",6.7
"572",2,2,78,1,"buttery",0
"573",2,2,78,1,"grassy",5.1
"574",2,2,78,1,"rancid",3.8
"575",2,2,78,1,"painty",2.1
"576",2,2,78,2,"potato",7
"577",2,2,78,2,"buttery",0
"578",2,2,78,2,"grassy",1.3
"579",2,2,78,2,"rancid",0.6
"580",2,2,78,2,"painty",3.1
"581",2,2,79,1,"potato",10.9
"582",2,2,79,1,"buttery",3.2
"583",2,2,79,1,"grassy",2.1
"584",2,2,79,1,"rancid",1
"585",2,2,79,1,"painty",0
"586",2,2,79,2,"potato",10.4
"587",2,2,79,2,"buttery",1.1
"588",2,2,79,2,"grassy",0.5
"589",2,2,79,2,"rancid",1.4
"590",2,2,79,2,"painty",0
"591",2,2,86,1,"potato",3.9
"592",2,2,86,1,"buttery",7.9
"593",2,2,86,1,"grassy",1.4
"594",2,2,86,1,"rancid",0
"595",2,2,86,1,"painty",0
"596",2,2,86,2,"potato",8.3
"597",2,2,86,2,"buttery",2.4
